cluster,location,property_type,bedrooms,area_sqft,contract_rent,duration_months,annualised_rent,annualised_rent_per_sqft,rental_yield_pct,contract_type,start_date,end_date,purchase_price,source_file,source_page,record_uid
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,136500.0,12,136500.0,72.87773625200214,6.3,New,2026-08-25,2027-08-24,2200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,74d651ea125bfde32c93175169471a5ec8605ac0
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,140000.0,12,140000.0,74.74639615589963,,New,2026-08-25,2027-08-24,,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,1436f7a95f6b17663d98c157b500226a07a090b2
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1898.0,125000.0,12,125000.0,65.85879873551106,7.6,New,2026-08-25,2027-08-24,1700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,600fd7d6dc0233628b944af44e26e3fbfd67bdad
Eden,"Eden, The Valley, Al Yufrah 1",Villa,4,2772.0,180000.0,12,180000.0,64.93506493506493,10.9,New,2026-08-24,2027-08-23,1600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,d55ae2f5d4c9e82623c39831d9255f82d563c50c
Nara,"Nara, The Valley, Al Yufrah 1",Villa,4,2750.0,165000.0,12,165000.0,60.0,6.4,New,2026-08-23,2027-08-22,2600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,104aca48a10f65fa4d32d35978eb92469f0ad496
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1898.0,150000.0,12,150000.0,79.03055848261327,7.9,New,2026-08-22,2027-08-21,1900000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,029f71f6b989e240840bac27ae92b366a0a393fe
Orania,"Orania, The Valley, Al Yufrah 1",Villa,4,2809.0,155000.0,12,155000.0,55.179779280882876,7.7,New,2026-08-21,2027-08-20,2000000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,77d4c7c63d8d6f632905dd3d37e146a9e5f664f5
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,120000.0,12,120000.0,64.06833956219968,7.6,New,2026-08-21,2027-08-20,1600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,a8485643777afc46cae027996e911fbbb5c589ca
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Villa,5,10008.0,550000.0,12,550000.0,54.95603517186251,7.8,New,2026-08-20,2027-08-19,7100000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,e7e2a7809570daa0763a0a94dc9e1591b1cb665b
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,8.4,New,2026-08-20,2027-08-19,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,57b6927bff83b9e2f07cea3c96f0431c921b7944
Elora,"Elora, The Valley, Al Yufrah 1",Villa,4,2488.0,165000.0,12,165000.0,66.31832797427653,7.2,New,2026-08-20,2027-08-19,2300000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,3a63c7b859a418f3505d1579f6e6fd3dd58ab6a1
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,9.0,New,2026-08-20,2027-08-19,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,de525f31ea4ba288cb8cd5ba94530a2f012d6978
Farm Gardens,"Farm Gardens, The Valley, Al Yufrah1",Villa,4,9082.0,700000.0,24,350000.0,38.53776701167144,13.5,New,2026-08-20,2028-08-19,5200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,32bd9cf9ee66ba0dda02c4f481f44ce0d8fa8584
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,9.0,New,2026-08-20,2027-08-19,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,ab75f5fb081a8fd02e98bbf99569405e67fe260b
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,9.0,New,2026-08-20,2027-08-19,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,3ba8cabc02765e698131d87e6da6d41bd4648c85
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,140000.0,12,140000.0,74.74639615589963,5.4,Renewed,2026-08-17,2027-08-16,2600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,5cf54aa4a99ef06ce08fda380b537669189a9cc9
Talia,"Talia, The Valley, Al Yufrah 1",Villa,4,2770.0,150000.0,12,150000.0,54.151624548736464,7.8,New,2026-08-16,2027-08-15,1900000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,dbcf16ec7b7c65cbed6ec52bfe6c5cbe8c79bcec
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,126000.0,12,126000.0,67.27175654030967,8.7,New,2026-08-15,2027-08-14,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",10,f157e29c39c17f282e36b3208a591533f7705d14
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1909.0,125000.0,12,125000.0,65.47930853850184,9.2,Renewed,2026-08-15,2027-08-14,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",12,79f0bc12940085e0a964161d54914eabb79c0eaa
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,8.7,New,2026-08-15,2027-08-14,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,285cf3c429f751b577753b8b0d84ab320cb86fd3
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,8.3,New,2026-08-15,2027-08-14,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,ccbe1379dee1469f3617bb0945c1c232275efe81
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,9.1,New,2026-08-15,2027-08-14,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,1ace5216a822f5c027361e53660f5f9db7209019
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,120000.0,12,120000.0,64.06833956219968,8.3,New,2026-08-15,2027-08-14,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",12,55935760eaf2cddfff0c2c1208c0427b826286f2
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,138000.0,12,138000.0,73.67859049652964,9.6,Renewed,2026-08-15,2027-08-14,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",11,ab4c949a2959b1cabc67501aeda910eca07fbd5b
Elora,"Elora, The Valley, Al Yufrah 1",Villa,3,1483.0,130000.0,12,130000.0,87.66014834794336,,New,2026-08-15,2027-08-14,,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,12a72a030834cf3c288772528dd644da75f5c928
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,280000.0,25,134400.0,71.75654030966363,18.3,Renewed,2026-08-15,2028-09-13,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,12a9d2bec7c77cc763fc06971450cf9d0b6d98dc
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,9.7,Renewed,2026-08-15,2027-08-14,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",33,55fc15aa38ebe5e7bfa9fd261461209fa7b32af5
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,5.7,New,2026-08-15,2027-08-14,2200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,3b47cf7a391c2bfe5e196c477b55382c69c0101d
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,5.0,New,2026-08-15,2027-08-14,2500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,f99d5418a0ae1994cc7f4e57ec9f8e819fdc1009
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1904.0,125000.0,12,125000.0,65.65126050420169,8.8,New,2026-08-15,2027-08-14,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,4b4dde92bc7e36087df142c3d363cda9cf7cea77
Talia,"Talia, The Valley, Al Yufrah 1",Villa,4,2750.0,90000.0,6,180000.0,65.45454545454545,4.7,Renewed,2026-08-15,2027-02-14,1900000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,c39ac3dd8b465fbb2a80115d586b112160aecf45
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,11.1,New,2026-08-14,2027-08-13,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,fe080a94e7dab8bc4abfa44ced11d52eb58db3e3
Elora,"Elora, The Valley, Al Yufrah 1",Villa,3,1481.0,140000.0,12,140000.0,94.53072248480757,7.4,New,2026-08-13,2027-08-12,1900000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,d8c445537585371d74a3a75cfeaf8cc05a092f39
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,10.4,New,2026-08-13,2027-08-12,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,33938c5b064c25f0faaf1fda7f89fefb8f11c993
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,140000.0,12,140000.0,74.74639615589963,11.2,Renewed,2026-08-12,2027-08-11,1300000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",23,8b6cd10955a417506b6587fd82fce2258895457e
Elora,"Elora, The Valley, Al Yufrah 1",Villa,3,1484.0,140000.0,12,140000.0,94.33962264150944,8.0,New,2026-08-12,2027-08-11,1800000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,3af40dc264205f99abd880042001088f7cf92cd6
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1885.0,125000.0,12,125000.0,66.3129973474801,8.1,New,2026-08-12,2027-08-11,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,c0aa38cb75fba71985ddd0576a66c42453857d4e
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,11.4,Renewed,2026-08-11,2027-08-10,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,0e19c7cf2e1ffdf117581ce7c412f230997a1a94
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1874.0,130000.0,12,130000.0,69.37033084311634,8.5,New,2026-08-11,2027-08-10,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,1a7d76333368116aef274607ba206a8193bd16b2
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1898.0,125000.0,12,125000.0,65.85879873551106,7.9,New,2026-08-11,2027-08-10,1600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,df61b7d5b87793b9c78a4ae362ad62f450d7a26c
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,120000.0,12,120000.0,64.06833956219968,8.0,New,2026-08-10,2027-08-09,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,7cd4b57c9b90a6a6dac674673a5efb885fd27588
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,8.9,New,2026-08-10,2027-08-09,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",10,6f321c3e631496bc1ae80e3438263e863470ead4
Talia,"Talia, The Valley, Al Yufrah 1",Villa,4,2771.0,160000.0,12,160000.0,57.740887766149406,4.6,New,2026-08-10,2027-08-09,3500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,5a4c2db66f004de5cc4896bcfbc90e335178d5c2
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,126000.0,12,126000.0,67.27175654030967,8.8,New,2026-08-10,2027-08-09,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,32bd96c8e0c1bbc554aa74e86df9025d471c38a8
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,8.6,Renewed,2026-08-10,2027-08-09,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",14,8d9f5c5b7f9e20383b228293bf133dbfa9c118c2
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,140000.0,12,140000.0,74.74639615589963,8.1,New,2026-08-10,2027-08-09,1700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",10,1ba87e59405e6c90cedd4f4f3449931a0945dccc
Nara,"Nara, The Valley, Al Yufrah 1",Villa,4,2762.0,175000.0,12,175000.0,63.35988414192614,10.0,New,2026-08-10,2027-08-09,1800000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,acbe2511bb95673affbddec7ba137c2d24c5979c
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,115000.0,12,115000.0,61.398825413774695,7.8,New,2026-08-10,2027-08-09,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,ac73af81549c6f1ebd4d29b7eec8b34cc47895bd
Elora,"Elora, The Valley, Al Yufrah 1",Villa,4,2487.0,185000.0,12,185000.0,74.38681141938078,8.7,New,2026-08-10,2027-08-09,2100000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,0721500b6ec570081e19fc026e16be979d13c05f
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,8.0,New,2026-08-10,2027-08-09,1600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,52eb9aa15c798f003d8239e3992d7e265064b44c
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,13,124615.38461538461,66.53250646843813,4.9,New,2026-08-10,2027-08-11,2800000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,59885f8fdc1ff5ef53d73778a3c4384406aee96d
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,7.1,New,2026-08-08,2027-08-07,1800000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,a629ab8d9586cd7a24ce331eb294f6e828088314
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,8.6,New,2026-08-07,2027-08-06,1600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",13,12e584669995ea1e187110ef8baeb240499806d8
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,122000.0,12,122000.0,65.13614522156968,7.9,New,2026-08-06,2027-08-05,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,828133edf60c9ddf02a7a46719a0cf16c0732b02
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,6.3,New,2026-08-06,2027-08-05,2100000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,d98f674df4c34722421ac574f688b917f131ab81
Eden,"Eden, The Valley, Al Yufrah 1",Villa,4,2803.0,150000.0,12,150000.0,53.51409204423832,4.5,New,2026-08-06,2027-08-05,3400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",13,3e6bd305354f6e67f9317ce07ab1fe84301d10d1
Orania,"Orania, The Valley, Al Yufrah 1",Villa,4,2870.0,170000.0,12,170000.0,59.23344947735192,5.5,New,2026-08-05,2027-08-04,3100000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,d4b06f44ec4f902e54af7f89bb9b1a365b3a186c
Talia,"Talia, The Valley, Al Yufrah 1",Villa,4,2772.0,187500.0,12,187500.0,67.64069264069263,9.2,New,2026-08-05,2027-08-04,2000000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",13,442e5ff838f92554dc0c5740322fa1f558f09415
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,10.3,New,2026-08-05,2027-08-04,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,d2817698ff4e50b88c763516a6401370d7f0aad3
Elora,"Elora, The Valley, Al Yufrah 1",Villa,3,1484.0,145000.0,12,145000.0,97.7088948787062,8.7,New,2026-08-05,2027-08-04,1700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,1fd194dd5cafbe0c06162e9636da8152053a36bb
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,10.7,New,2026-08-05,2027-08-04,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,ad52e098667f320a38fc1ea4648ca42afd48ecab
Nara,"Nara, The Valley, Al Yufrah 1",Villa,4,2772.0,180000.0,12,180000.0,64.93506493506493,10.5,New,2026-08-03,2027-08-02,1700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,abbb136aaa80f9f9c106b4244aba3f36208c5eca
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,133000.0,12,133000.0,71.00907634810464,5.0,Renewed,2026-08-02,2027-08-01,2700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",10,a4b90f554da38598ba5ad260ec5485dc7a165217
Elora,"Elora, The Valley, Al Yufrah 1",Villa,4,2488.0,172500.0,12,172500.0,69.33279742765274,8.3,New,2026-08-01,2027-07-31,2100000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",12,0e0c27eccaaa2839d694755a5e3fb1d1b6272189
Elora,"Elora, The Valley, Al Yufrah 1",Villa,4,2713.0,80000.0,12,80000.0,29.48765204570586,2.5,New,2026-08-01,2027-07-31,3300000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,83ded877a810d29abd695104704695d8b6d60ac7
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,11.4,Renewed,2026-08-01,2027-07-31,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,5ad8f8afc356b0abd115f222311a2abb46d66d37
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,110000.0,12,110000.0,58.72931126534971,9.2,New,2026-08-01,2027-07-31,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,03d1bfa9a3cbb7bd3c62989868c546319dc0c92e
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,5.3,Renewed,2026-08-01,2027-07-31,2500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",18,de601d11cc9cd3954f1003865828b9d0d8c43bd6
Elora,"Elora, The Valley, Al Yufrah 1",Villa,4,2487.0,200000.0,12,200000.0,80.41817450743868,9.4,New,2026-08-01,2027-07-31,2100000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,eb9dfb4fa97e08134701f169e9522838f6dc49f0
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,115000.0,12,115000.0,61.398825413774695,4.3,New,2026-08-01,2027-07-31,2700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,1786bf70c47cf255e42f9fca8e11079eb72aab23
Talia,"Talia, The Valley, Al Yufrah 1",Villa,4,2750.0,175000.0,12,175000.0,63.63636363636363,9.2,Renewed,2026-08-01,2027-07-31,1900000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,239a30c5961664d3c11eb43968d7fd33e26634fb
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,5.0,Renewed,2026-08-01,2027-07-31,2600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",8,810a62ddd5b699d169586b383bad272ad8cdd753
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,120000.0,12,120000.0,64.06833956219968,9.9,Renewed,2026-08-01,2027-07-31,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,e85d988bf36bb135e91f0879390cb2e961705076
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,4.8,New,2026-08-01,2027-07-31,2800000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,e3204319321fa959a0b51f94da474798e9491d0d
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,4.3,New,2026-08-01,2027-07-31,2900000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,2adef78fd348bf7184fa6c989f76d612096dff01
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1881.0,120000.0,12,120000.0,63.79585326953748,7.8,New,2026-08-01,2027-07-31,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,24521f5be938516399bab816cd80be7bc08b8125
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,6.2,New,2026-08-01,2027-07-31,2200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",17,2ce7c04f9f9f937d8936e5837bd8fb75be28451d
